"hectad","tetrad","to 1929","1930 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","hectadstatus"
"NC21","NC21X",0,0,0,1,0,0,"n"
"NC21","NC21Y",0,0,0,1,0,1,"n"
"NC31","NC31E",0,0,0,1,1,0,"n"
"NC31","NC31I",0,0,1,0,0,0,"n"
"NC31","NC31J",0,0,0,0,0,1,"n"
"NC32","NC32A",0,0,1,1,1,1,"n"
"NC34","NC34J",0,0,0,0,0,1,"n"
"NC34","NC34M",0,0,0,1,0,0,"n"
"NC43","NC43H",0,0,0,1,0,0,"n"
"NC54","NC54U",0,0,0,1,0,0,"n"
"NG45","NG45W",0,1,0,0,0,0,"n"
"NG46","NG46K",0,1,1,1,1,1,"n"
"NG46","NG46L",0,1,1,1,0,1,"n"
"NG46","NG46P",0,1,1,1,0,0,"n"
"NG47","NG47K",0,1,1,0,0,0,"n"
"NG52","NG52K",0,1,0,0,1,0,"n"
"NG55","NG55C",0,0,0,1,0,0,"n"
"NG72","NG72K",0,0,1,0,0,0,"n"
"NG72","NG72L",0,0,0,1,1,0,"n"
"NG80","NG80V",1,0,0,0,0,0,"n"
"NG90","NG90T",0,1,0,0,0,0,"n"
"NG90","NG90Y",0,0,0,0,1,1,"n"
"NG91","NG91K",1,0,0,0,0,0,"n"
"NG91","NG91T",0,0,0,0,1,0,"n"
"NG94","NG94U",0,0,0,0,0,1,"n"
"NG95","NG95Q",0,0,0,0,0,1,"n"
"NG95","NG95U",0,0,0,1,0,0,"n"
"NG96","NG96K",0,0,0,1,1,0,"n"
"NG96","NG96Q",0,0,0,1,0,0,"n"
"NG96","NG96R",0,0,0,1,0,0,"n"
"NG97","NG97H",0,0,0,0,1,0,"n"
"NG97","NG97I",0,0,0,1,0,1,"n"
"NG97","NG97M",0,0,0,0,1,0,"n"
"NG97","NG97R",0,0,0,0,1,1,"n"
"NG97","NG97W",0,0,0,0,1,0,"n"
"NG97","NG97Y",0,0,0,0,1,0,"n"
"NG97","NG97Z",0,0,0,0,1,0,"n"
"NG98","NG98R",0,0,0,0,1,0,"n"
"NH00","NH00H",0,0,1,0,0,0,"n"
"NH00","NH00P",0,0,1,0,0,0,"n"
"NH00","NH00R",0,0,0,0,0,1,"n"
"NH00","NH00S",0,0,0,0,0,1,"n"
"NH00","NH00Y",0,0,0,0,0,1,"n"
"NH01","NH01C",0,0,0,0,1,0,"n"
"NH01","NH01E",0,0,0,0,1,1,"n"
"NH01","NH01T",0,0,0,0,1,0,"n"
"NH02","NH02A",0,0,0,0,1,0,"n"
"NH02","NH02L",0,0,0,1,1,0,"n"
"NH02","NH02R",0,0,0,0,1,0,"n"
"NH03","NH03W",0,0,1,0,0,0,"n"
"NH04","NH04K",0,0,0,0,0,1,"n"
"NH04","NH04S",0,0,0,0,0,1,"n"
"NH04","NH04X",0,1,0,0,1,0,"n"
"NH04","NH04Z",0,0,0,0,0,1,"n"
"NH06","NH06E",0,0,0,0,1,0,"n"
"NH06","NH06I",0,0,0,0,0,1,"n"
"NH07","NH07C",0,0,0,0,1,1,"n"
"NH07","NH07D",0,0,0,0,1,0,"n"
"NH07","NH07L",0,0,1,0,1,0,"n"
"NH07","NH07R",0,0,0,1,0,0,"n"
"NH07","NH07V",0,0,0,0,1,1,"n"
"NH07","NH07X",0,0,0,0,0,1,"n"
"NH11","NH11G",0,0,0,0,1,1,"n"
"NH11","NH11H",0,0,1,1,1,1,"n"
"NH11","NH11I",0,0,0,0,0,1,"n"
"NH11","NH11L",0,0,0,0,0,1,"n"
"NH12","NH12B",0,0,0,0,0,1,"n"
"NH12","NH12C",0,0,0,0,1,1,"n"
"NH12","NH12G",0,0,0,0,0,1,"n"
"NH12","NH12H",0,1,0,0,1,1,"n"
"NH12","NH12I",0,0,0,0,1,0,"n"
"NH12","NH12M",0,0,0,0,1,0,"n"
"NH12","NH12T",0,0,1,0,0,0,"n"
"NH12","NH12U",0,0,0,0,0,1,"n"
"NH13","NH13A",0,0,0,0,0,1,"n"
"NH13","NH13B",0,0,0,0,0,1,"n"
"NH13","NH13H",0,0,0,0,1,1,"n"
"NH13","NH13L",0,0,0,0,0,1,"n"
"NH13","NH13M",0,0,0,0,1,0,"n"
"NH13","NH13R",0,0,0,1,0,0,"n"
"NH13","NH13S",0,0,0,0,1,1,"n"
"NH14","NH14C",0,0,0,0,0,1,"n"
"NH14","NH14E",0,0,0,0,1,1,"n"
"NH14","NH14G",0,0,0,0,0,1,"n"
"NH14","NH14H",0,0,0,0,1,0,"n"
"NH14","NH14I",0,1,0,1,0,1,"n"
"NH14","NH14J",0,0,0,0,1,1,"n"
"NH15","NH15A",0,1,0,1,1,1,"n"
"NH16","NH16E",0,0,0,0,1,0,"n"
"NH16","NH16I",0,0,0,0,0,1,"n"
"NH16","NH16K",0,0,0,1,1,1,"n"
"NH16","NH16L",0,0,0,1,0,1,"n"
"NH16","NH16Q",0,0,0,0,0,1,"n"
"NH16","NH16R",0,0,0,0,0,1,"n"
"NH16","NH16Z",0,0,0,0,0,1,"n"
"NH17","NH17F",0,0,0,0,0,1,"n"
"NH17","NH17V",0,0,0,0,1,1,"n"
"NH24","NH24G",0,0,0,0,1,0,"n"
"NH24","NH24L",0,0,0,1,1,1,"n"
"NH26","NH26E",0,0,0,0,0,1,"n"
"NH26","NH26I",0,0,0,0,0,1,"n"
"NH26","NH26J",0,1,0,0,0,1,"n"
"NH26","NH26N",0,0,0,0,0,1,"n"
"NH26","NH26P",0,0,0,0,0,1,"n"
"NH27","NH27A",0,0,0,0,0,1,"n"
"NH27","NH27F",0,0,0,0,0,1,"n"
"NH27","NH27G",0,0,0,0,1,1,"n"
"NH27","NH27Z",0,1,0,0,0,0,"n"
"NH28","NH28F",0,0,1,0,1,1,"n"
"NH28","NH28K",0,1,0,0,1,1,"n"
"NH28","NH28L",0,0,0,0,1,1,"n"
"NH28","NH28M",0,0,0,0,1,0,"n"
"NH28","NH28Q",0,1,1,1,1,1,"n"
"NH28","NH28R",0,0,0,0,0,1,"n"
"NH28","NH28S",0,0,0,0,1,0,"n"
"NH28","NH28Y",0,0,1,1,1,1,"n"
"NH37","NH37E",0,1,0,0,1,0,"n"
"NH38","NH38A",0,0,0,0,0,1,"n"
"NH38","NH38D",0,0,0,0,1,0,"n"
"NH38","NH38J",0,0,1,0,0,0,"n"
"NH46","NH46S",0,1,0,0,0,0,"n"
"NH46","NH46T",0,0,0,0,1,1,"n"
"NH46","NH46U",0,0,0,1,1,1,"n"
"NH47","NH47V",0,0,0,0,0,1,"n"
"NH60","NH60F",0,0,0,0,1,0,"n"
"NH60","NH60G",0,0,0,0,0,1,"n"
"NH60","NH60I",0,1,0,0,0,0,"n"
"NH70","NH70I",0,1,0,0,0,0,"n"
"NH90","NH90K",0,0,1,0,0,0,"n"
"NH90","NH90R",0,0,1,0,1,1,"n"
"NH90","NH90V",0,0,0,1,1,1,"n"
"NH90","NH90W",0,1,0,1,1,0,"n"
"NJ00","NJ00A",0,0,1,0,0,0,"n"
"NJ00","NJ00B",0,0,0,1,0,0,"n"
"NJ00","NJ00F",0,0,0,0,1,1,"n"
"NJ00","NJ00V",0,0,0,0,0,1,"n"
"NJ10","NJ10F",0,1,0,0,0,0,"n"
"NJ20","NJ20X",0,0,0,1,0,0,"n"
"NJ23","NJ23M",0,0,1,0,0,0,"n"
"NJ23","NJ23N",0,1,1,0,0,0,"n"
"NJ30","NJ30R",0,0,1,0,0,1,"n"
"NM87","NM87P",0,1,0,0,0,0,"n"
"NM88","NM88T",0,0,1,0,0,0,"n"
"NM99","NM99I",0,0,0,0,0,1,"n"
"NN03","NN03Q",0,0,0,1,0,1,"n"
"NN03","NN03W",0,0,0,1,0,0,"n"
"NN09","NN09C",0,1,0,0,0,0,"n"
"NN11","NN11Z",0,0,0,1,0,0,"n"
"NN12","NN12E",0,1,0,0,0,0,"n"
"NN13","NN13A",0,0,0,1,1,0,"n"
"NN13","NN13G",0,0,0,0,0,1,"n"
"NN13","NN13V",0,0,0,1,0,0,"n"
"NN15","NN15D",0,0,0,0,0,1,"n"
"NN15","NN15H",0,0,1,1,1,1,"n"
"NN15","NN15L",0,0,0,0,0,1,"n"
"NN15","NN15M",0,1,1,1,1,1,"n"
"NN15","NN15R",0,0,0,0,0,1,"n"
"NN15","NN15U",0,0,0,0,0,1,"n"
"NN15","NN15Y",0,0,0,0,0,1,"n"
"NN16","NN16H",0,0,0,0,0,1,"n"
"NN16","NN16S",0,0,0,0,1,0,"n"
"NN16","NN16U",0,0,0,1,0,0,"n"
"NN17","NN17K",0,0,0,1,1,1,"n"
"NN17","NN17L",0,0,0,1,1,1,"n"
"NN17","NN17Q",0,0,1,1,1,1,"n"
"NN17","NN17R",0,0,0,1,1,1,"n"
"NN17","NN17S",0,0,0,0,1,0,"n"
"NN17","NN17V",0,0,1,1,1,1,"n"
"NN17","NN17W",0,0,0,1,1,1,"n"
"NN17","NN17X",0,0,0,1,1,1,"n"
"NN19","NN19L",0,0,0,0,0,1,"n"
"NN19","NN19W",0,0,0,0,1,0,"n"
"NN19","NN19X",0,0,0,0,0,1,"n"
"NN21","NN21A",0,1,0,0,0,0,"n"
"NN21","NN21E",0,0,0,1,0,0,"n"
"NN21","NN21F",0,0,0,1,0,0,"n"
"NN21","NN21W",0,0,1,0,0,0,"n"
"NN22","NN22A",0,0,0,1,0,0,"n"
"NN22","NN22F",0,0,0,1,0,0,"n"
"NN22","NN22T",0,0,0,1,1,0,"n"
"NN22","NN22X",0,0,1,0,1,1,"n"
"NN22","NN22Y",0,0,1,1,1,0,"n"
"NN23","NN23K",0,0,1,0,0,0,"n"
"NN23","NN23R",0,0,0,0,0,1,"n"
"NN23","NN23W",0,0,0,1,0,1,"n"
"NN24","NN24H",0,0,0,0,0,1,"n"
"NN25","NN25B",0,0,0,0,1,0,"n"
"NN25","NN25F",0,0,0,1,0,0,"n"
"NN26","NN26C",0,0,0,0,1,0,"n"
"NN27","NN27A",1,0,1,1,1,1,"n"
"NN27","NN27B",0,0,0,1,1,0,"n"
"NN27","NN27C",0,0,0,0,1,0,"n"
"NN27","NN27G",0,1,0,1,1,0,"n"
"NN27","NN27H",0,0,0,0,1,0,"n"
"NN27","NN27M",1,0,0,0,0,0,"n"
"NN27","NN27S",0,0,0,1,1,0,"n"
"NN27","NN27T",0,0,0,1,0,0,"n"
"NN28","NN28Z",0,0,0,0,0,1,"n"
"NN29","NN29A",0,1,1,0,0,0,"n"
"NN29","NN29B",0,0,0,0,0,1,"n"
"NN29","NN29H",0,0,0,0,0,1,"n"
"NN29","NN29I",0,0,0,0,0,1,"n"
"NN30","NN30R",0,1,0,1,1,1,"n"
"NN31","NN31Z",0,0,1,0,0,0,"n"
"NN32","NN32C",0,0,0,1,1,1,"n"
"NN32","NN32D",0,0,0,0,0,1,"n"
"NN33","NN33C",0,0,1,0,0,0,"n"
"NN33","NN33G",0,0,0,0,0,1,"n"
"NN33","NN33J",0,0,0,0,0,1,"n"
"NN33","NN33L",0,0,0,0,1,0,"n"
"NN33","NN33R",0,0,0,0,1,1,"n"
"NN33","NN33S",0,0,1,0,1,1,"n"
"NN33","NN33V",0,0,0,0,0,1,"n"
"NN33","NN33W",0,1,1,0,1,1,"n"
"NN33","NN33X",0,0,1,0,0,1,"n"
"NN33","NN33Y",0,0,1,0,0,1,"n"
"NN33","NN33Z",0,0,0,1,0,0,"n"
"NN34","NN34F",0,1,1,1,0,0,"n"
"NN34","NN34K",0,0,1,1,0,0,"n"
"NN34","NN34L",0,0,0,1,1,1,"n"
"NN34","NN34Q",0,0,0,0,0,1,"n"
"NN34","NN34R",0,0,0,0,1,0,"n"
"NN34","NN34S",0,0,0,0,0,1,"n"
"NN34","NN34V",0,0,0,0,0,1,"n"
"NN36","NN36H",0,1,0,1,1,0,"n"
"NN36","NN36U",0,0,0,0,1,0,"n"
"NN37","NN37B",0,0,0,1,0,1,"n"
"NN37","NN37H",0,0,0,1,0,1,"n"
"NN37","NN37M",0,0,0,0,0,1,"n"
"NN37","NN37R",0,0,0,0,1,0,"n"
"NN37","NN37V",0,0,0,0,1,0,"n"
"NN37","NN37X",0,0,0,0,1,0,"n"
"NN38","NN38X",0,0,1,0,0,1,"n"
"NN41","NN41T",0,0,0,0,0,1,"n"
"NN42","NN42A",0,0,0,0,1,0,"n"
"NN42","NN42B",0,0,1,0,1,0,"n"
"NN42","NN42F",0,0,1,0,1,0,"n"
"NN42","NN42G",0,0,1,0,1,1,"n"
"NN42","NN42H",0,0,0,1,1,0,"n"
"NN42","NN42L",0,0,0,0,1,0,"n"
"NN42","NN42M",0,0,0,0,1,0,"n"
"NN43","NN43A",0,0,0,1,1,0,"n"
"NN43","NN43C",0,0,1,0,1,1,"n"
"NN43","NN43D",0,0,1,0,0,1,"n"
"NN43","NN43E",1,1,1,0,1,1,"n"
"NN43","NN43G",0,0,1,0,0,0,"n"
"NN43","NN43I",0,0,0,0,1,1,"n"
"NN43","NN43J",0,0,0,0,1,1,"n"
"NN43","NN43K",0,0,0,0,1,0,"n"
"NN43","NN43Q",0,0,1,0,1,1,"n"
"NN43","NN43R",0,0,1,0,1,1,"n"
"NN43","NN43W",0,1,1,1,1,1,"n"
"NN43","NN43Z",0,0,0,0,0,1,"n"
"NN44","NN44C",0,0,1,0,0,0,"n"
"NN44","NN44F",0,0,0,0,0,1,"n"
"NN44","NN44H",0,0,1,0,0,0,"n"
"NN44","NN44S",0,0,0,0,0,1,"n"
"NN44","NN44X",0,0,1,1,1,1,"n"
"NN46","NN46H",0,0,0,0,1,0,"n"
"NN47","NN47G",0,0,0,0,1,0,"n"
"NN47","NN47H",0,0,0,0,1,0,"n"
"NN47","NN47L",0,0,1,0,1,1,"n"
"NN47","NN47R",0,0,0,0,0,1,"n"
"NN47","NN47S",1,0,1,0,1,1,"n"
"NN47","NN47V",0,0,0,0,1,1,"n"
"NN47","NN47W",0,0,1,0,1,1,"n"
"NN47","NN47X",0,0,0,0,1,1,"n"
"NN48","NN48H",0,0,0,0,0,1,"n"
"NN48","NN48I",0,0,1,0,1,1,"n"
"NN48","NN48J",0,0,1,1,1,1,"n"
"NN48","NN48N",1,0,1,0,0,0,"n"
"NN48","NN48V",0,0,0,0,0,1,"n"
"NN49","NN49J",0,0,0,1,1,0,"n"
"NN49","NN49Q",0,0,0,0,0,1,"n"
"NN49","NN49V",0,0,0,0,1,1,"n"
"NN49","NN49W",0,1,0,0,0,0,"n"
"NN50","NN50U",0,0,0,1,0,0,"n"
"NN51","NN51Q",0,0,1,0,0,1,"n"
"NN53","NN53E",0,0,0,0,1,1,"n"
"NN53","NN53J",0,0,0,0,1,1,"n"
"NN53","NN53U",0,0,1,0,1,1,"n"
"NN53","NN53Z",0,1,1,0,1,1,"n"
"NN54","NN54A",0,1,1,0,1,1,"n"
"NN54","NN54E",0,0,0,0,0,1,"n"
"NN54","NN54F",0,0,1,0,0,0,"n"
"NN54","NN54P",0,0,1,0,0,0,"n"
"NN56","NN56I",0,0,1,1,1,1,"n"
"NN56","NN56P",0,0,0,0,0,1,"n"
"NN56","NN56X",0,0,1,1,0,1,"n"
"NN56","NN56Y",0,0,1,1,0,0,"n"
"NN57","NN57B",1,0,0,0,1,0,"n"
"NN57","NN57I",0,0,1,0,0,0,"n"
"NN57","NN57R",0,0,0,0,0,1,"n"
"NN57","NN57W",0,0,1,0,1,1,"n"
"NN57","NN57Y",0,0,0,0,0,1,"n"
"NN58","NN58A",0,1,1,0,0,1,"n"
"NN58","NN58W",0,1,1,0,0,0,"n"
"NN59","NN59B",0,1,0,0,1,0,"n"
"NN59","NN59U",0,0,0,0,0,1,"n"
"NN61","NN61D",0,0,0,0,1,0,"n"
"NN61","NN61I",0,0,0,0,1,1,"n"
"NN61","NN61J",0,0,0,1,1,0,"n"
"NN64","NN64A",0,1,0,0,0,1,"n"
"NN64","NN64B",0,1,0,0,0,0,"n"
"NN64","NN64F",1,1,1,1,1,1,"n"
"NN64","NN64G",0,0,1,1,1,1,"n"
"NN64","NN64J",0,0,1,0,1,1,"n"
"NN64","NN64K",0,1,0,1,0,0,"n"
"NN64","NN64L",0,0,0,1,0,1,"n"
"NN64","NN64M",0,0,0,1,1,1,"n"
"NN64","NN64P",0,0,0,0,0,1,"n"
"NN64","NN64S",0,0,0,1,1,1,"n"
"NN64","NN64Z",0,0,0,0,0,1,"n"
"NN65","NN65F",0,1,0,0,1,1,"n"
"NN65","NN65K",0,0,0,0,1,0,"n"
"NN65","NN65R",0,0,0,1,0,0,"n"
"NN65","NN65V",0,0,0,0,1,0,"n"
"NN66","NN66Q",0,1,0,0,1,0,"n"
"NN66","NN66V",0,0,1,0,1,1,"n"
"NN66","NN66W",0,1,0,0,0,0,"n"
"NN67","NN67A",0,0,1,1,0,0,"n"
"NN67","NN67B",0,0,1,0,0,0,"n"
"NN67","NN67C",1,0,1,0,1,0,"n"
"NN67","NN67G",0,0,1,0,1,1,"n"
"NN67","NN67H",1,1,0,1,1,1,"n"
"NN67","NN67K",0,0,0,0,0,1,"n"
"NN67","NN67N",0,0,1,0,1,0,"n"
"NN67","NN67P",0,0,1,0,1,1,"n"
"NN67","NN67T",0,0,0,0,1,0,"n"
"NN67","NN67Z",0,0,1,1,0,0,"n"
"NN68","NN68K",0,0,0,0,0,1,"n"
"NN68","NN68L",0,0,0,0,0,1,"n"
"NN73","NN73A",0,0,0,0,1,0,"n"
"NN73","NN73B",0,0,0,0,0,1,"n"
"NN73","NN73N",0,0,0,1,0,0,"n"
"NN73","NN73V",0,0,1,0,0,0,"n"
"NN73","NN73W",0,0,0,1,0,0,"n"
"NN77","NN77E",0,0,0,0,1,0,"n"
"NN77","NN77Y",0,0,0,1,0,1,"n"
"NN78","NN78H",0,0,0,1,0,0,"n"
"NN78","NN78S",0,0,1,0,0,0,"n"
"NN85","NN85H",0,0,0,1,0,0,"n"
"NN85","NN85M",0,0,0,0,0,1,"n"
"NN87","NN87D",0,0,0,0,0,1,"n"
"NN89","NN89Q",0,0,0,0,0,1,"n"
"NN89","NN89R",0,0,0,1,1,1,"n"
"NN89","NN89X",0,0,1,0,1,1,"n"
"NN89","NN89Y",0,0,0,0,1,1,"n"
"NN96","NN96L",0,0,0,1,0,0,"n"
"NN96","NN96Z",0,0,1,0,0,0,"n"
"NN97","NN97R",0,0,0,0,0,1,"n"
"NN97","NN97W",0,0,1,0,0,0,"n"
"NN98","NN98G",0,0,0,0,0,1,"n"
"NN99","NN99D",0,0,0,0,0,1,"n"
"NN99","NN99J",0,0,0,0,1,1,"n"
"NN99","NN99L",0,0,1,0,1,0,"n"
"NN99","NN99N",0,0,1,0,1,1,"n"
"NN99","NN99P",0,0,1,1,1,1,"n"
"NN99","NN99T",0,0,1,0,1,1,"n"
"NN99","NN99Y",0,0,0,0,1,1,"n"
"NN99","NN99Z",0,0,0,0,1,0,"n"
"NO07","NO07C",0,0,0,0,0,1,"n"
"NO07","NO07H",0,0,0,1,0,0,"n"
"NO07","NO07M",0,0,0,0,1,0,"n"
"NO07","NO07N",0,0,1,1,1,1,"n"
"NO07","NO07Q",0,0,0,0,1,1,"n"
"NO07","NO07T",0,0,0,1,0,1,"n"
"NO08","NO08G",0,0,0,0,0,1,"n"
"NO08","NO08L",0,0,0,0,1,0,"n"
"NO09","NO09E",0,0,1,0,1,1,"n"
"NO09","NO09I",0,0,0,1,0,1,"n"
"NO09","NO09J",0,0,0,1,0,0,"n"
"NO09","NO09M",0,0,0,1,0,0,"n"
"NO09","NO09Z",0,0,0,1,0,1,"n"
"NO17","NO17I",0,1,0,0,0,0,"n"
"NO17","NO17J",0,1,1,1,1,1,"n"
"NO17","NO17N",0,0,0,1,1,0,"n"
"NO17","NO17S",0,0,0,0,0,1,"n"
"NO17","NO17T",0,0,1,1,1,1,"n"
"NO17","NO17U",0,0,0,1,1,1,"n"
"NO18","NO18Q",0,0,0,0,1,1,"n"
"NO27","NO27M",0,1,0,1,0,1,"n"
"NO28","NO28H",0,0,1,0,0,0,"n"
"NO48","NO48F",0,0,0,0,0,1,"n"
